Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
1094,MN,3,2023,3904,3377,397,32S,0.87,Mar-23,13.15,4294
1095,MO,3,2023,4622,4209,392,22S,0.91,Mar-23,12.6,5965
1096,MS,3,2023,1197,1167,21,4S,0.97,Mar-23,8.683333333,2923
1097,MT,3,2023,721,706,15,5S,0.98,Mar-23,11.38333333,1014
1098,NC,3,2023,5047,4016,592,19S,0.8,Mar-23,10.35,9273
1099,ND,3,2023,445,404,17,11S,0.91,Mar-23,9.7,580
1100,NE,3,2023,1672,1494,118,20S,0.89,Mar-23,15.91666667,1634
1101,NH,3,2023,1740,1564,165,19S,0.9,Mar-23,9.883333333,1221
1102,NJ,3,2023,4637,3686,600,28S,0.79,Mar-23,13.91666667,6557
1103,NM,3,2023,1968,1537,245,23S,0.78,Mar-23,18.15,1926
1104,NV,3,2023,2872,1998,463,25S,0.7,Mar-23,17.5,2511
1105,NY,3,2023,14906,11966,1632,28S,0.8,Mar-23,15.66666667,14019
1106,OH,3,2023,6926,6056,724,23S,0.87,Mar-23,13.53333333,11323
1107,OK,3,2023,3403,3129,242,19S,0.92,Mar-23,11.46666667,3837
1108,OR,3,2023,4274,3760,350,27S,0.88,Mar-23,16.68333333,3696
1109,PA,3,2023,6795,5458,1023,41S,0.8,Mar-23,11.96666667,12113
1110,RI,3,2023,559,548,9,4S,0.98,Mar-23,13.01666667,902
1111,SC,3,2023,3090,1770,429,21S,0.57,Mar-23,14.5,5065
1112,SD,3,2023,625,566,31,13S,0.91,Mar-23,17.01666667,709
1113,TN,3,2023,3316,2754,506,38S,0.83,Mar-23,11.5,6897
1114,TX,3,2023,14950,11336,1672,24S,0.76,Mar-23,14.73333333,19639
1115,UT,3,2023,2924,2609,180,14S,0.89,Mar-23,14.3,1796
1116,VA,3,2023,5692,5223,442,21S,0.92,Mar-23,12,6753
1117,VT,3,2023,902,665,60,17S,0.74,Mar-23,15.33333333,607
1118,WA,3,2023,6611,5720,472,21S,0.87,Mar-23,12.16666667,5807
1119,WI,3,2023,5921,4610,693,27S,0.78,Mar-23,14.8,4971
1120,WV,3,2023,1074,972,64,19S,0.91,Mar-23,18.58333333,2169
1121,WY,3,2023,404,316,64,18S,0.78,Mar-23,14.81666667,478
1122,AK,3,2024,1456,1051,235,24S,0.72,Mar-24,14.61666667,
1123,AL,3,2024,2820,1969,500,32S,0.7,Mar-24,11.63333333,
1124,AR,3,2024,1826,1195,200,22S,0.65,Mar-24,13.25,
1125,AZ,3,2024,6381,5658,477,19S,0.89,Mar-24,13.06666667,
1126,CA,3,2024,33869,29681,3525,31S,0.88,Mar-24,11.98333333,
1127,CO,3,2024,8633,6664,678,23S,0.77,Mar-24,14.4,
1128,CT,3,2024,4694,4245,228,13S,0.9,Mar-24,10.96666667,
1129,DC,3,2024,1015,853,103,21S,0.84,Mar-24,9.983333333,
1130,DE,3,2024,407,329,42,19S,0.81,Mar-24,8.666666667,
1131,FL,3,2024,14432,11508,2012,32S,0.8,Mar-24,13.88333333,
1132,GA,3,2024,7480,6217,867,22S,0.83,Mar-24,12.31666667,
1133,HI,3,2024,1725,1318,276,24S,0.76,Mar-24,11.16666667,
1134,IA,3,2024,2264,1968,267,36S,0.87,Mar-24,12.16666667,
1135,ID,3,2024,1278,1115,95,17S,0.87,Mar-24,17.63333333,
1136,IL,3,2024,13421,10779,1371,31S,0.8,Mar-24,19,
1137,IN,3,2024,6654,6192,394,17S,0.93,Mar-24,18.76666667,
1138,KS,3,2024,2534,2231,236,20S,0.88,Mar-24,13.18333333,
1139,KY,3,2024,2891,2486,363,24S,0.86,Mar-24,13.91666667,
1140,LA,3,2024,3470,3118,304,20S,0.9,Mar-24,12.91666667,
1141,MA,3,2024,6279,5538,652,29S,0.88,Mar-24,9.783333333,
1142,MD,3,2024,7197,6546,593,23S,0.91,Mar-24,13.61666667,
1143,ME,3,2024,1292,1182,74,15S,0.91,Mar-24,9.083333333,
1144,MI,3,2024,8845,7934,764,17S,0.9,Mar-24,11.08333333,
1145,MN,3,2024,4979,4450,359,19S,0.89,Mar-24,14.13333333,
1146,MO,3,2024,6948,6444,452,14S,0.93,Mar-24,12.58333333,
1147,MS,3,2024,1282,1248,32,0S,0.97,Mar-24,7.166666667,
1148,MT,3,2024,985,950,30,7S,0.96,Mar-24,12.46666667,
1149,NC,3,2024,6825,5605,805,22S,0.82,Mar-24,12.38333333,
1150,ND,3,2024,725,633,27,9S,0.87,Mar-24,8.4,
1151,NE,3,2024,1859,1651,126,20S,0.89,Mar-24,16.23333333,
1152,NH,3,2024,1247,906,110,23S,0.73,Mar-24,13.16666667,
1153,NJ,3,2024,7628,6044,908,28S,0.79,Mar-24,13.41666667,
1154,NM,3,2024,2532,2252,212,16S,0.89,Mar-24,15.35,
1155,NV,3,2024,3828,2561,479,22S,0.67,Mar-24,15.36666667,
1156,NY,3,2024,30704,27400,2832,36S,0.89,Mar-24,15.9,
1157,OH,3,2024,8877,7855,953,24S,0.88,Mar-24,12.61666667,
1158,OK,3,2024,5341,4762,443,22S,0.89,Mar-24,11.36666667,
1159,OR,3,2024,4822,3670,503,28S,0.76,Mar-24,17.3,
1160,PA,3,2024,8441,7575,691,21S,0.9,Mar-24,12.23333333,
1161,RI,3,2024,1045,1021,14,1S,0.98,Mar-24,10.81666667,
1162,SC,3,2024,3556,2911,395,31S,0.82,Mar-24,15.85,
1163,SD,3,2024,765,657,61,12S,0.86,Mar-24,13.25,
1164,TN,3,2024,4184,3671,476,25S,0.88,Mar-24,12.15,
1165,TX,3,2024,16653,14307,2040,31S,0.86,Mar-24,15.18333333,
1166,UT,3,2024,3438,3197,174,13S,0.93,Mar-24,16.61666667,
1167,VA,3,2024,9284,7383,1271,47S,0.8,Mar-24,14.01666667,
1168,VT,3,2024,1074,775,204,18S,0.72,Mar-24,15.1,
1169,WA,3,2024,8196,7353,619,22S,0.9,Mar-24,13.25,
1170,WI,3,2024,7021,5346,593,24S,0.76,Mar-24,14.4,
1171,WV,3,2024,1693,1536,83,16S,0.91,Mar-24,16.41666667,
1172,WY,3,2024,499,450,32,15S,0.9,Mar-24,15.91666667,
1173,AK,5,2022,578,345,169,34S,0.6,May-22,13.9,437
1174,AL,5,2022,2393,1402,752,1M 4S,0.59,May-22,11.31666667,4691
1175,AR,5,2022,1395,1046,301,27S,0.75,May-22,12.51666667,2949
1176,AZ,5,2022,3339,3073,204,16S,0.92,May-22,9.85,5782
1177,CA,5,2022,25121,21573,3484,41S,0.86,May-22,12.3,23999
1178,CO,5,2022,4426,2273,1189,37S,0.51,May-22,13.86666667,3788
1179,CT,5,2022,2526,2288,198,36S,0.91,May-22,9.866666667,2812
1180,DC,5,2022,658,600,44,17S,0.91,May-22,9.166666667,431
1181,DE,5,2022,385,269,68,23S,0.7,May-22,8.75,886
1182,FL,5,2022,10430,6247,2414,31S,0.6,May-22,10.45,18947
1183,GA,5,2022,5616,3989,1280,26S,0.71,May-22,13.95,7836
1184,HI,5,2022,1140,843,214,31S,0.74,May-22,7.383333333,1121
1185,IA,5,2022,1478,1017,386,47S,0.69,May-22,11.18333333,2647
1186,ID,5,2022,1132,978,124,31S,0.86,May-22,15,1249
1187,IL,5,2022,7888,1520,2051,26S,0.19,May-22,14.78333333,9487
1188,IN,5,2022,3533,2690,346,20S,0.76,May-22,15.05,5662
1189,KS,5,2022,1767,1241,281,30S,0.7,May-22,16.61666667,2411
1190,KY,5,2022,2068,1500,394,33S,0.73,May-22,14.78333333,4304
1191,LA,5,2022,2531,1638,507,29S,0.65,May-22,14.75,4144
